Marque,Modèle,year,road,boite,horsepower,fuel,nbre_portes,cylindrée,Prix
Renault,Megane,2006,220 KM,Manuelle,6 CV,Essence,5,5 L,22500
Mahindra,KUV 100,2021,28 000 KM,Manuelle,5 CV,Essence,5,2 L,37000
Peugeot,206,2007,348 500 KM,Manuelle,6 CV,Essence,5,,17000
Fiat,GRANDE PUNTO,2011,205 937 KM,Manuelle,5 CV,Essence,5,3 L,19900
Fiat,GRANDE PUNTO,2011,205 937 KM,Manuelle,5 CV,Essence,5,3 L,19900
Volkswagen,Polo,1997,340 KM,Manuelle,4 CV,Essence,5,5 L,12600
Toyota,Autres,2019,500 000 KM,Manuelle,9 CV,Diesel,3,10 L,0
Skoda,Fabia,2018,240 000 KM,Manuelle,4 CV,Essence,5,1 L,36500
Kia,RIO,2012,230 KM,Manuelle,5 CV,Essence,5,,30000
Volkswagen,Golf,2010,0 KM,Manuelle,5 CV,Essence,5,5 L,17500
Hyundai,I10,2020,85 500 KM,Manuelle,5 CV,Essence,5,3 L,35500
Peugeot,Autres,2014,177 000 KM,Manuelle,5 CV,Essence,5,3 L,22400
Land rover,EVOQUE,2019,80 500 KM,Automatique,8 CV,Diesel,5,,205000
Nissan,Juke,2013,19 000 KM,Automatique,7 CV,Essence,5,3 L,45000
Bmw,520,2016,109 000 KM,Automatique,9 CV,Essence,5,11 L,105000
Peugeot,106,1997,300 KM,Manuelle,4 CV,Essence,5,5 L,12800
Volkswagen,Polo,2004,230 000 KM,Manuelle,4 CV,Essence,5,1 L,17000
Fiat,DOBLO,2014,256 KM,Manuelle,5 CV,Diesel,5,4 L,33000
Seat,Ibiza,2010,200 000 KM,Manuelle,5 CV,Essence,5,3 L,28
MG,Zs,2019,75 000 KM,Automatique,7 CV,Essence,5,6 L,65000
Peugeot,3008,2021,170 000 KM,Automatique,10 CV,Diesel,5,6 L,89000
Kia,PICANTO,2017,93 KM,Automatique,5 CV,Essence,5,,111
Mahindra,KUV 100,2020,28 000 KM,Manuelle,5 CV,Essence,5,1 L,39000
Audi,A4,2014,205 000 KM,Automatique,7 CV,Diesel,4,,51000
Peugeot,Partner,2012,359 KM,Manuelle,5 CV,Diesel,5,7 L,22000
Isuzu,AUTRE,2000,600 000 KM,Manuelle,9 CV,Diesel,3,,22000
Hyundai,H1,2006,300 KM,Manuelle,10 CV,Diesel,3,8 L,12500
Renault,Clio,2003,120 KM,Manuelle,5 CV,Essence,5,3 L,2222
Peugeot,208,2023,88 000 KM,Manuelle,5 CV,Diesel,5,,42000
Peugeot,Expert,2019,295 000 KM,Manuelle,7 CV,Diesel,3,6 L,52000
Mercedes,Classe E,2004,30 000 KM,Automatique,9 CV,Diesel,5,11 L,34000
Citroen,XSARA,2005,9 999 KM,Manuelle,6 CV,Diesel,5,1 L,8500
Peugeot,Partner,2009,143 KM,Manuelle,7 CV,Diesel,5,10 L,17
Volkswagen,Golf,2012,240 000 KM,Manuelle,5 CV,Diesel,5,11 L,39000
Mercedes,Classe A,2019,60 000 KM,Automatique,8 CV,Essence,5,4 L,145000
Volkswagen,Golf 4,2000,320 000 KM,Manuelle,6 CV,Diesel,5,10 L,21500
Fiat,GRANDE PUNTO,2009,252 000 KM,Manuelle,5 CV,Essence,5,5 L,21500
Peugeot,307,2004,400 KM,Manuelle,4 CV,Diesel,5,5 L,15000
Mini,AUTRE,2006,101 000 KM,Automatique,11 CV,Essence,3,7 L,27
Peugeot,Partner,2020,100 000 KM,Manuelle,5 CV,Diesel,5,6 L,56800
Seat,Leon,2017,141 000 KM,Manuelle,6 CV,Essence,5,3 L,50000
Mercedes,Classe A,2019,102 000 KM,Automatique,7 CV,Essence,5,5 L,99000
Nissan,Qashqai,2019,100 000 KM,Automatique,6 CV,Essence,5,3 L,78000
Kia,RIO,2021,32 000 KM,Manuelle,5 CV,Essence,5,3 L,56000
Ford,FIESTA,2010,188 KM,Manuelle,5 CV,Essence,5,,23
Bmw,SERIE 4,2020,66 000 KM,Automatique,7 CV,Essence,5,7 L,138000
Bmw,118,2016,168 000 KM,Automatique,7 CV,Essence,5,7 L,72500
Volkswagen,Golf 7,2015,147 KM,Manuelle,5 CV,Essence,5,3 L,58000
Peugeot,Autres,2020,153 000 KM,Manuelle,6 CV,Diesel,5,7 L,2
Dacia,DOKKER,2016,188 000 KM,Manuelle,6 CV,Diesel,3,21 L,24500
Opel,Astra,2019,128 000 KM,Manuelle,6 CV,Diesel,5,7 L,47000
Opel,Corsa,1993,800 000 KM,Manuelle,5 CV,,5,,6000
Honda,CIVIC,2021,62 000 KM,Automatique,6 CV,Essence,5,6 L,57000
Nissan,Primera,2012,212 000 KM,Manuelle,5 CV,Essence,5,7 L,14000
Mercedes,Classe E,2018,148 KM,Automatique,9 CV,Essence,5,9 L,130
Peugeot,Autres,2022,56 000 KM,Manuelle,6 CV,Diesel,5,10 L,92000
Renault,Clio,2003,0 KM,Manuelle,4 CV,Essence,5,1 L,7000
Kia,RIO,2012,210 KM,Manuelle,5 CV,Essence,3,3 L,27
Chery,QQ,2017,11 800 KM,Manuelle,4 CV,Essence,5,1 L,25300
Renault,Autres,2014,208 000 KM,Manuelle,5 CV,Essence,5,3 L,0
Volkswagen,Golf,2018,120 KM,Manuelle,6 CV,Essence,5,1 L,74
Opel,Astra,2001,290 000 KM,Manuelle,6 CV,Essence,5,7 L,28500
Dacia,DOKKER,2019,110 KM,Manuelle,6 CV,Diesel,3,4 L,31500
Ford,FIESTA,2005,237 KM,Manuelle,5 CV,Essence,5,3 L,19
Peugeot,208,2020,72 000 KM,Manuelle,5 CV,Essence,5,3 L,33500
Peugeot,307,2007,240 KM,Manuelle,6 CV,Essence,5,,18
Volkswagen,Polo,1994,200 000 KM,Manuelle,5 CV,Essence,5,,5700
Citroen,C3,2012,220 000 KM,Manuelle,5 CV,Essence,5,3 L,24
Opel,Kadett,1991,16 KM,Manuelle,5 CV,Essence,5,9 L,7500
Ford,FIESTA,2013,170 000 KM,Manuelle,5 CV,Essence,5,25 L,19000
Volkswagen,Golf,2010,276 000 KM,Manuelle,7 CV,Essence,5,7 L,37000
Chevrolet,CRUZE,2014,199 585 KM,Manuelle,7 CV,Essence,5,5 L,32000
Renault,Scenic,2007,299 000 KM,Manuelle,8 CV,Diesel,5,10 L,23000
Peugeot,Autres,2020,153 000 KM,Manuelle,6 CV,Diesel,5,7 L,5
Volkswagen,Golf,2002,390 000 KM,Manuelle,7 CV,Diesel,5,10 L,23000
Ford,FIESTA,2017,106 000 KM,Manuelle,5 CV,Essence,5,1 L,37000
Ford,ESCORT,1985,99 999 KM,Manuelle,5 CV,Essence,5,2 L,6000
Mahindra,KUV 100,2021,46 000 KM,Manuelle,5 CV,Essence,5,3 L,33000
Volkswagen,Amarok,2011,210 KM,Manuelle,7 CV,Diesel,5,19 L,59
Peugeot,Expert,2020,145 000 KM,Manuelle,9 CV,Diesel,5,11 L,56
Suzuki,Celerio,2020,67 000 KM,Manuelle,4 CV,Essence,5,,28700
Chery,QQ,2016,78 000 KM,Manuelle,5 CV,Essence,5,1 L,20000
Kia,PICANTO,2020,81 000 KM,Manuelle,4 CV,Essence,5,21 L,0
Peugeot,206,2005,450 KM,Manuelle,5 CV,Essence,5,5 L,16500
Peugeot,206,2005,450 KM,Manuelle,5 CV,Essence,5,5 L,16500
Suzuki,Celerio,2019,58 500 KM,Manuelle,4 CV,Essence,5,1 L,29500
Renault,Autres,2012,250 KM,Manuelle,6 CV,Diesel,5,6 L,28500
Nissan,Juke,2012,195 000 KM,Manuelle,6 CV,Diesel,5,6 L,44600
MG,Zs,2022,99 500 KM,Manuelle,7 CV,Essence,5,,65000
Kia,RIO,2018,103 401 KM,Manuelle,5 CV,Essence,5,3 L,49500
Peugeot,3008,2020,152 000 KM,Automatique,7 CV,Essence,4,,87000
Peugeot,,2022,24 900 KM,Manuelle,6 CV,Essence,4,,90000
,,2006,195 000 KM,Manuelle,5 CV,Diesel,4,,17000
Renault,Clio,2009,206 600 KM,Manuelle,4 CV,Diesel,4,,24
Renault,Kadjar,2019,113 000 KM,Manuelle,6 CV,Essence,4,,0
Kia,SORENTO,2013,316 000 KM,Automatique,12 CV,Essence,4,,57000
,,2011,482 KM,Manuelle,4 CV,Diesel,4,,17000
Mitsubishi,Pajero,2000,187 000 KM,Automatique,12 CV,Essence,4,,48000
Fiat,GRANDE PUNTO,2017,89 000 KM,Manuelle,4 CV,Diesel,4,,0
Peugeot,208,2020,50 900 KM,Manuelle,4 CV,Diesel,4,,35000
Citroen,,2014,160 KM,Manuelle,5 CV,Diesel,4,,21000
Citroen,C3,2004,217 000 KM,Manuelle,4 CV,Diesel,4,,17600
Ford,FOCUS,2016,86 000 KM,Manuelle,6 CV,Diesel,4,,44000
Peugeot,3008,2019,58 000 KM,Automatique,9 CV,Diesel,4,,85000
Peugeot,,2014,,Manuelle,5 CV,Diesel,4,,20500
Volkswagen,Golf,2011,230 000 KM,Automatique,6 CV,Diesel,4,,37500
,,2006,374 000 KM,Manuelle,10 CV,Essence,4,,52000
Volkswagen,Touareg,2016,189 000 KM,Automatique,12 CV,Essence,4,,115000
Iveco,DAILY,2016,196 000 KM,Manuelle,10 CV,Essence,4,,0
Fiat,DOBLO,2014,390 000 KM,Manuelle,6 CV,Essence,4,,19000
,,,3 KM,Automatique,9 CV,Essence,4,,27500
Peugeot,2008,2016,147 KM,Manuelle,5 CV,Diesel,4,,38000
Kia,CERATO,2019,170 000 KM,Automatique,7 CV,Diesel,4,,11111
Kia,CERATO,2016,,Automatique,7 CV,Diesel,4,,52000
Kia,SPORTAGE,2020,80 500 KM,Automatique,7 CV,Essence,4,,120000
Kia,SPORTAGE,2007,218 000 KM,Manuelle,9 CV,Essence,4,,26300
Kia,CERATO,2014,139 800 KM,Automatique,8 CV,Essence,5,7 L,36500
Mini,,2010,170 000 KM,Manuelle,4 CV,Diesel,4,,35000
Nissan,Micra,2018,56 000 KM,Manuelle,5 CV,Essence,5,1 L,34500
Bmw,530,2017,,Automatique,15 CV,Diesel,4,,135000
Seat,Ibiza,2018,50 800 KM,Manuelle,4 CV,Essence,4,,46000
Fiat,FIORINO,2023,5 500 KM,Manuelle,5 CV,Essence,4,,44000
Renault,Scenic,2008,300 000 KM,Manuelle,6 CV,Essence,4,,23000
Renault,Clio,2021,57 000 KM,Manuelle,4 CV,Diesel,4,,40800
Opel,Astra,2005,313 KM,Manuelle,5 CV,Essence,4,,0
Hyundai,SANTA FE,2022,12 000 KM,Automatique,12 CV,Diesel,4,,98000
Citroen,C4,2013,163 KM,Manuelle,6 CV,Diesel,4,,32000
Volkswagen,Passat,2017,17 000 KM,Automatique,7 CV,Essence,4,,84000
Chevrolet,CRUZE,2018,125 KM,Manuelle,7 CV,Diesel,4,,0
Peugeot,3008,2010,153 000 KM,Manuelle,7 CV,Diesel,4,,33000
Fiat,GRANDE PUNTO,2008,,Manuelle,5 CV,Diesel,4,,21000
Peugeot,3008,2019,64 KM,Automatique,7 CV,Diesel,4,,90000
Peugeot,Partner,2016,350 KM,Automatique,5 CV,Essence,4,,28000
Hyundai,TERRACAN,2006,0 KM,Manuelle,10 CV,Essence,4,,0
Toyota,Land Cruiser,2021,2 800 KM,Automatique,18 CV,Essence,4,,0
Audi,A4,2003,333 000 KM,Manuelle,6 CV,Essence,4,,19500
Peugeot,316,2017,133 KM,Manuelle,4 CV,Diesel,4,,29500
Chevrolet,,2018,125 KM,Manuelle,7 CV,Essence,4,,38000
Mercedes,,1998,-358 KM,Automatique,9 CV,Essence,4,,9
Citroen,,2009,80 000 KM,Manuelle,6 CV,Essence,4,,30000
Peugeot,,2016,147 KM,Manuelle,5 CV,Diesel,4,,38000
,,2012,,Manuelle,6 CV,Diesel,4,,29000
Ford,,2012,205 500 KM,Manuelle,5 CV,Diesel,4,,26200
Kia,,2022,12 000 KM,Manuelle,5 CV,Diesel,4,,67500
Seat,,2016,122 000 KM,Manuelle,6 CV,Diesel,4,,45500
Fiat,,2014,390 000 KM,Manuelle,5 CV,Essence,4,,19
Volkswagen,,2002,240 000 KM,Manuelle,4 CV,Diesel,4,,15500
Peugeot,208,2017,133 KM,Manuelle,4 CV,Essence,4,,29500
,,2016,124 000 KM,Automatique,5 CV,Diesel,4,,42000
Citroen,,2017,88 000 KM,Manuelle,4 CV,Diesel,4,,0
MG,,2021,0 KM,Manuelle,7 CV,Diesel,4,3 L,65000
Kia,RIO,2012,190 000 KM,Manuelle,5 CV,Diesel,4,,36000
Iveco,AUTRE,2015,700 000 KM,Manuelle,,Essence,4,,0
,,2021,115 000 KM,Manuelle,11 CV,Essence,4,,86000
Volkswagen,Passat,2016,103 000 KM,Manuelle,7 CV,Essence,4,,67000
Peugeot,208,2019,127 000 KM,Manuelle,5 CV,Diesel,4,,30000
Volkswagen,Polo,2003,222 000 KM,Manuelle,5 CV,Essence,4,,0
Audi,A3,2016,142 400 KM,Manuelle,6 CV,Diesel,4,,64
Nissan,Qashqai,2012,236 000 KM,Manuelle,6 CV,Essence,4,,43000
Renault,Clio,2021,70 000 KM,Manuelle,5 CV,Diesel,4,,41000
Nissan,Qashqai,2011,253 000 KM,Manuelle,6 CV,Essence,4,,37000
Volkswagen,Polo,2008,378 000 KM,Manuelle,5 CV,Essence,4,,23000
,,2014,41 000 KM,Manuelle,8 CV,Essence,4,,140
Volkswagen,Passat,2016,130 000 KM,Manuelle,7 CV,Essence,4,,65000
,,2002,360 KM,Manuelle,4 CV,Diesel,4,,11200
Citroen,C4,2012,243 000 KM,Manuelle,6 CV,Essence,4,,37000
Peugeot,206,2002,300 000 KM,Manuelle,4 CV,Diesel,4,,10500
Suzuki,Baleno,2019,77 000 KM,Automatique,5 CV,Diesel,4,,46000
Peugeot,208,2022,81 000 KM,Manuelle,4 CV,Diesel,4,,0
Opel,Astra,2017,188 000 KM,Manuelle,8 CV,Essence,4,,34000
Citroen,AUTRE,2017,160 KM,Manuelle,5 CV,Diesel,4,,26800
,,1998,193 000 KM,Automatique,10 CV,Essence,4,,1
Ds,DS3,2013,122 000 KM,Manuelle,5 CV,Diesel,4,,31
Renault,Clio,2001,300 000 KM,Manuelle,4 CV,Diesel,4,,17500
Volkswagen,Polo,2010,160 KM,Manuelle,5 CV,Diesel,4,,28000
Chery,,2016,122 KM,Manuelle,6 CV,Diesel,4,,27500
Citroen,C3,2012,112 000 KM,Manuelle,5 CV,Diesel,4,,30000
Peugeot,206,2007,,Manuelle,4 CV,Essence,4,,10500
Opel,Astra,2002,,Manuelle,5 CV,Diesel,4,,0
Toyota,Yaris,2014,194 000 KM,Manuelle,5 CV,Diesel,4,,35000
Kia,,2023,1 200 KM,Automatique,6 CV,Diesel,4,7 L,8900
Volkswagen,Golf,2018,108 000 KM,Automatique,6 CV,Essence,4,,1
Alfa romeo,MITO,2010,168 000 KM,Manuelle,5 CV,Essence,4,,0
,,2021,0 KM,Manuelle,6 CV,Diesel,4,,1234
,,2021,,Manuelle,6 CV,Diesel,4,,1234
Toyota,Corolla,2016,140 KM,Manuelle,7 CV,Diesel,4,,48
Citroen,AUTRE,2019,175 KM,Manuelle,5 CV,Diesel,4,,25000
Fiat,PUNTO,2002,315 000 KM,Manuelle,4 CV,Diesel,4,,15000
Volkswagen,Polo,2018,106 000 KM,Manuelle,4 CV,Essence,4,,47000
Peugeot,AUTRE,2018,120 000 KM,Manuelle,5 CV,Diesel,4,,30000
Citroen,NEMO,2017,272 000 KM,Manuelle,5 CV,Essence,4,,22900
Chevrolet,CRUZE,2018,125 KM,Manuelle,7 CV,Diesel,4,,53422912
Chevrolet,AUTRE,,,Manuelle,4 CV,Diesel,4,,21
Volkswagen,Golf,2009,160 000 KM,Automatique,7 CV,Diesel,4,,0
Mazda,MAZDA3,2012,,Automatique,6 CV,Diesel,4,,27000
Volkswagen,Jetta,2008,194 KM,Automatique,8 CV,Diesel,4,,31
Kia,RIO,2012,190 000 KM,Manuelle,5 CV,Diesel,4,,36000
Hyundai,I10,2023,20 000 KM,Automatique,5 CV,Diesel,4,,53000
Kia,RIO,2022,88 000 KM,Manuelle,5 CV,Essence,4,,63000
Isuzu,D MAX,2021,145 000 KM,Manuelle,8 CV,Essence,4,,67000
Ford,KA,1997,,Manuelle,5 CV,Diesel,4,,8200
Renault,Megane,2011,273 KM,Manuelle,6 CV,Essence,4,,30
Peugeot,308,2011,188 000 KM,Manuelle,6 CV,Diesel,4,,24000
Bmw,316,2007,240 000 KM,Manuelle,7 CV,Diesel,4,,0
Hyundai,H1,2008,150 KM,Manuelle,8 CV,Essence,4,,8
Kia,RIO,2014,146 KM,Manuelle,5 CV,Essence,4,,40000000
Peugeot,206,2008,0 KM,Manuelle,5 CV,Diesel,4,,165000
Volkswagen,Polo,2010,,Manuelle,4 CV,Diesel,4,,25000
Hyundai,I20,2017,53 000 KM,Manuelle,4 CV,Diesel,4,,40500
Renault,Clio,2010,300 000 KM,Manuelle,5 CV,Essence,4,,17000
Volkswagen,Golf,2015,162 KM,Manuelle,5 CV,Diesel,4,,0
Volkswagen,Golf,2007,400 000 KM,Automatique,6 CV,Essence,4,,27000
Ford,FIESTA,2000,88 000 KM,Manuelle,6 CV,Diesel,4,,12500
Peugeot,208,2019,157 000 KM,Manuelle,5 CV,Diesel,4,,31500
Dacia,DUSTER,2017,208 000 KM,Manuelle,7 CV,Diesel,4,,42000
Volkswagen,Golf,1998,300 000 KM,Manuelle,6 CV,Diesel,4,,12000
Alfa romeo,147,2004,,Manuelle,7 CV,Essence,4,,0
Opel,Astra,2009,160 000 KM,Manuelle,5 CV,Diesel,4,,25000
Citroen,AUTRE,2014,197 000 KM,Automatique,5 CV,Diesel,4,,27
Opel,Astra,2009,160 000 KM,Manuelle,5 CV,Diesel,4,,25000
Peugeot,206,2001,280 KM,Manuelle,5 CV,Diesel,4,,15
Citroen,AX,1997,200 000 KM,Manuelle,4 CV,Essence,4,,9000
Kia,PICANTO,2021,38 200 KM,Manuelle,4 CV,Diesel,4,,42000
Volkswagen,Golf,2012,200 KM,Automatique,9 CV,Diesel,4,,0
Volkswagen,Polo,2011,318 000 KM,Manuelle,5 CV,Diesel,4,,23000
Hyundai,I10,2021,37 000 KM,Manuelle,4 CV,Diesel,4,,0
Volkswagen,Passat,2010,179 000 KM,Manuelle,7 CV,Diesel,4,,33000
Peugeot,Partner,,350 KM,Manuelle,7 CV,Essence,4,,14
MG,AUTRE,2017,88 000 KM,Automatique,9 CV,Diesel,4,,68000
Chevrolet,CRUZE,2018,95 000 KM,Manuelle,7 CV,Essence,4,,41000
Peugeot,207,2011,205 000 KM,Manuelle,6 CV,Diesel,4,,24500
Seat,Leon,2014,170 000 KM,Manuelle,6 CV,Diesel,4,,45000
Volkswagen,Polo,2018,110 000 KM,Manuelle,5 CV,Diesel,4,,39000
Citroen,C3,2018,123 000 KM,Manuelle,5 CV,Diesel,4,,37900
Toyota,AUTRE,2018,120 000 KM,Automatique,6 CV,Diesel,4,,75000
Peugeot,208,2013,95 000 KM,Manuelle,5 CV,Diesel,4,,25000
Renault,Kangoo,2005,392 KM,Manuelle,6 CV,Essence,4,,17600
Renault,Safrane,2000,350 KM,Manuelle,7 CV,Essence,4,,12000
Peugeot,206,2007,270 000 KM,Manuelle,5 CV,Diesel,4,,0
Mazda,MAZDA2,2016,146 700 KM,Manuelle,6 CV,Essence,4,,36
Suzuki,Celerio,2021,13 370 KM,Manuelle,4 CV,Diesel,4,,34000
Fiat,DOBLO,2020,260 000 KM,Manuelle,5 CV,Essence,4,,32000
Kia,PICANTO,2016,128 000 KM,Automatique,5 CV,Diesel,4,,33000
Peugeot,3008,2017,,Automatique,6 CV,Essence,4,,88000
Fiat,AUTRE,2015,6 KM,Manuelle,4 CV,Electrique,4,,50
Isuzu,AUTRE,,,Manuelle,9 CV,Essence,4,,28000
Volkswagen,Polo,2013,68 000 KM,Manuelle,5 CV,Diesel,4,,30000
Fiat,FIORINO,2020,190 KM,Manuelle,5 CV,Essence,4,,30
Renault,Megane,2012,230 000 KM,Manuelle,5 CV,Essence,4,,33000
Seat,Ibiza,2018,140 000 KM,Manuelle,4 CV,Diesel,4,,39000
Peugeot,508,2012,176 000 KM,Automatique,7 CV,Diesel,4,,32500
Seat,Ibiza,2013,170 000 KM,Manuelle,5 CV,Essence,4,,28000
Volkswagen,Golf,2016,102 000 KM,Manuelle,5 CV,Diesel,4,,0
Seat,Marbella,2016,164 000 KM,Manuelle,6 CV,Diesel,4,,48000
Kia,SORENTO,2013,210 000 KM,Automatique,12 CV,Essence,4,,58000
Seat,Leon,2017,140 KM,Manuelle,6 CV,Diesel,4,,47000
Ford,FIESTA,2011,224 000 KM,Manuelle,5 CV,Diesel,4,,24000
Isuzu,AUTRE,,,Manuelle,,Essence,4,,0
Peugeot,208,2013,95 000 KM,Manuelle,5 CV,Diesel,4,,25000
Peugeot,407,2007,205 000 KM,Manuelle,6 CV,Essence,4,,25000
Peugeot,208,2020,59 000 KM,Manuelle,4 CV,Diesel,4,,32500
Hyundai,ELANTRA,2016,127 830 KM,Manuelle,7 CV,Diesel,4,,21700
Kia,SPORTAGE,2019,130 KM,Manuelle,6 CV,Essence,4,,95000
Mahindra,AUTRE,2019,21 500 KM,Manuelle,5 CV,Diesel,4,,29500
Renault,Clio,2011,260 000 KM,Manuelle,6 CV,Essence,4,,28000
Peugeot,AUTRE,2014,200 000 KM,Manuelle,5 CV,Diesel,4,,16000
Chery,Tiggo,2020,,Manuelle,6 CV,Diesel,4,,48000
Peugeot,206,2009,260 000 KM,Manuelle,6 CV,Diesel,4,,17000
Volkswagen,Polo,2021,103 000 KM,Manuelle,5 CV,Diesel,4,,43
Fiat,FIORINO,2016,310 000 KM,Manuelle,5 CV,Essence,4,,23000
Mahindra,AUTRE,2023,10 000 KM,Manuelle,5 CV,Diesel,4,,38000
Volkswagen,Polo,2011,215 000 KM,Manuelle,4 CV,Diesel,4,,21000
Toyota,Yaris,2020,132 000 KM,Manuelle,4 CV,Diesel,4,,38500
Bmw,X1,2017,97 000 KM,Automatique,7 CV,Diesel,4,,84000
,,2016,270 KM,Manuelle,9 CV,Essence,4,,43
Peugeot,Expert,2010,350 KM,Manuelle,7 CV,Essence,4,,28500
Volkswagen,Polo,2002,250 000 KM,Manuelle,5 CV,Diesel,4,,14800
Volkswagen,Polo,2004,,Manuelle,5 CV,Diesel,4,,20
Citroen,BERLINGO,2010,35 000 KM,Manuelle,7 CV,Essence,4,,17
Isuzu,D MAX,2014,210 000 KM,Manuelle,8 CV,Essence,4,,55000
Bmw,X1,2020,12 000 KM,Automatique,8 CV,Diesel,4,,0
Toyota,Yaris,2020,55 000 KM,Manuelle,4 CV,Diesel,4,,38500
Fiat,DOBLO,2015,287 KM,Manuelle,5 CV,Essence,4,,26
Citroen,C5,2007,350 KM,Manuelle,6 CV,Essence,4,,20
Renault,Clio,2004,255 000 KM,Manuelle,5 CV,Diesel,4,,0
Hyundai,I10,2017,136 000 KM,Automatique,5 CV,Diesel,4,,35000
Ford,MONDEO,2011,240 000 KM,Manuelle,7 CV,Diesel,4,,27500
Kia,PICANTO,2019,93 000 KM,Manuelle,4 CV,Diesel,4,,35500
Volkswagen,Caddy,2011,380 KM,Manuelle,8 CV,Essence,4,,21500
Mitsubishi,AUTRE,,156 000 KM,Automatique,4 CV,Diesel,4,,25000
Renault,Kangoo,2004,250 KM,Manuelle,5 CV,Diesel,4,,21500
Volkswagen,Polo,2007,163 KM,Manuelle,4 CV,Essence,4,,21500
Peugeot,207,2012,164 000 KM,Manuelle,5 CV,Diesel,4,,24
,,2002,12 345 KM,Manuelle,7 CV,Essence,4,,12345
Ford,FIESTA,2010,172 000 KM,Manuelle,5 CV,Diesel,4,,25000
Renault,Clio,2017,65 000 KM,Manuelle,5 CV,Diesel,4,,41500
Ds,DS4,2016,121 000 KM,Manuelle,7 CV,Diesel,4,,45000
Chevrolet,CRUZE,2018,163 KM,Manuelle,7 CV,Diesel,4,,37
Kia,PICANTO,2019,93 000 KM,Manuelle,4 CV,Diesel,4,,35000
Volkswagen,Golf,2010,223 000 KM,Manuelle,5 CV,Essence,4,,43
Renault,Kangoo,2004,250 KM,Manuelle,5 CV,Diesel,4,,22000
Renault,Megane,2005,189 000 KM,Manuelle,6 CV,Diesel,4,,18000
Audi,A3,2010,285 000 KM,Manuelle,5 CV,Essence,4,,37500
Mazda,MAZDA2,2016,85 000 KM,Automatique,6 CV,Diesel,4,,41000
Peugeot,AUTRE,2014,,Manuelle,4 CV,Essence,4,,0
Kia,RIO,2014,186 000 KM,Manuelle,5 CV,Essence,4,,32000
Dacia,DOKKER,2019,156 000 KM,Manuelle,6 CV,Essence,4,,30000
,,2009,225 000 KM,Automatique,9 CV,Diesel,4,,44000
Chevrolet,AUTRE,2007,260 KM,Manuelle,6 CV,Essence,4,,14
Volkswagen,Caddy,2010,260 KM,Manuelle,8 CV,Essence,4,,17
Nissan,Terrano,1998,,Manuelle,11 CV,Essence,4,,1
Kia,RIO,2021,94 KM,Manuelle,5 CV,Diesel,4,,0
Ford,FIESTA,2010,330 KM,Manuelle,5 CV,Diesel,4,,21
Audi,A4,2013,148 KM,Automatique,7 CV,Diesel,4,,48000
Volkswagen,Golf,2018,104 000 KM,Automatique,6 CV,Diesel,4,,0
,,2010,235 000 KM,Manuelle,9 CV,Diesel,4,,56000
Citroen,BERLINGO,2011,,Manuelle,7 CV,Essence,4,,17000
Chery,QQ,2017,56 000 KM,Manuelle,4 CV,Diesel,4,,22500
,,2013,187 000 KM,Manuelle,6 CV,Essence,4,,55000
Dacia,DOKKER,2017,150 000 KM,Manuelle,6 CV,Essence,4,,26500
Opel,Corsa,2002,,Manuelle,4 CV,Diesel,4,,15
Renault,Clio,2016,125 000 KM,Manuelle,5 CV,Diesel,4,,42000
Peugeot,2008,2008,,Manuelle,6 CV,Diesel,4,,16000
Nissan,Micra,2014,171 000 KM,Manuelle,5 CV,Diesel,4,,20000
Chery,,2017,107 809 KM,Manuelle,6 CV,Essence,4,,28700
Citroen,SAXO,,309 000 KM,Manuelle,4 CV,Diesel,4,,9800
Renault,Clio,2008,220 KM,Manuelle,4 CV,Diesel,4,,23
Opel,Insignia,2013,260 000 KM,Manuelle,11 CV,Diesel,4,,25900
Bmw,530,,,Automatique,,Essence,4,,42
Dacia,DUSTER,2012,400 000 KM,Manuelle,5 CV,Essence,4,,45000
Kia,RIO,,120 000 KM,Manuelle,5 CV,Diesel,4,,38000
Seat,Ibiza,2013,220 KM,Manuelle,5 CV,Diesel,4,,28
Renault,Kadjar,2017,94 000 KM,Manuelle,7 CV,Diesel,4,,60000
Volkswagen,Amarok,2013,240 KM,Automatique,7 CV,Essence,4,,73000
Toyota,Corolla,1991,293 000 KM,Manuelle,7 CV,Diesel,4,,12000
Dacia,DOKKER,2015,95 203 247 KM,Manuelle,6 CV,Essence,4,,22
,,2002,123 456 KM,Manuelle,7 CV,Essence,4,,25
Opel,Astra,2009,220 KM,Manuelle,5 CV,Diesel,4,,25000
Volkswagen,Jetta,2013,190 KM,Manuelle,6 CV,Diesel,4,,45
,,2016,158 KM,Manuelle,5 CV,Essence,4,,28000
Volkswagen,Bora,2006,422 000 KM,Manuelle,7 CV,Essence,4,,16800
,,2006,,Automatique,+20 CV,Diesel,4,,52000
,,2015,197 000 KM,Manuelle,4 CV,Diesel,4,,25000
Renault,Clio,2008,230 KM,Manuelle,4 CV,Diesel,4,,0
Kia,RIO,2018,172 000 KM,Manuelle,5 CV,Diesel,4,,39000
Peugeot,106,1997,,Manuelle,5 CV,Diesel,4,,11000
Citroen,C3,2019,79 400 KM,Manuelle,4 CV,Diesel,4,,38900
,,2010,170 KM,Automatique,12 CV,Diesel,4,,123
Peugeot,106,1995,245 KM,Manuelle,4 CV,Diesel,4,,9
