Marque,Modèle,year,horsepower,road,boite,fuel,cylindrée,nbre_portes,Negociable,Prix
Mercedes,Classe C,2016,8 CV,110 340 KM,Manuelle,Essence,9 L,5,,90
Volkswagen,Polo,2001,5 CV,280 KM,Manuelle,Essence,5 L,5,Négociable,16000
Volkswagen,Polo,1998,4 CV,555 KM,Manuelle,Essence,1 L,5,,13200
Renault,Clio,2003,5 CV,304 000 KM,Manuelle,Essence,3 L,5,Négociable,11111
Chevrolet,AVEO,2012,5 CV,100 000 KM,Manuelle,Essence,3 L,5,Négociable,18000
Kia,RIO,2018,5 CV,101 000 KM,Manuelle,Essence,3 L,5,Négociable,41000
Peugeot,108,2017,4 CV,114 KM,Manuelle,Essence,3 L,5,Négociable,30000
Ssangyong,Actyon,2017,7 CV,260 000 KM,Manuelle,Diesel,7 L,5,Négociable,50
Peugeot,106,1994,5 CV,450 KM,Manuelle,Essence,5 L,5,Négociable,111
Peugeot,208,2019,5 CV,95 000 KM,Manuelle,Essence,3 L,5,Négociable,34
Suzuki,Swift,2018,5 CV,131 KM,Manuelle,Essence,5,,Négociable,34
Hyundai,I20,2016,4 CV,245 000 KM,Manuelle,Essence,2 L,5,Négociable,34000
Honda,CIVIC,2020,10 CV,155 000 KM,Automatique,Essence,6 L,5,Négociable,80000
Fiat,PALIO WEEKEND,2008,4 CV,120 000 KM,Manuelle,Essence,3 L,5,,14500
Peugeot,106,1997,4 CV,0 KM,Manuelle,Essence,31 L,5,Négociable,11900
Ford,AUTRE,2013,5 CV,232 KM,Manuelle,Essence,3 L,5,,20500
Seat,Ibiza,2023,6 CV,31 000 KM,Automatique,Essence,1 L,5,,0
Kia,RIO,2022,5 CV,86 000 KM,Manuelle,Essence,3 L,5,Négociable,63500
Bmw,AUTRE,2009,6 CV,300 KM,Manuelle,Diesel,7 L,5,,1
Renault,Clio,2024,6 CV,14 000 KM,Manuelle,Essence,1 L,5,Négociable,62500
Volkswagen,Golf,2012,6 CV,245 000 KM,Manuelle,Diesel,7 L,3,,33500
Audi,A4,2012,7 CV,250 000 KM,Manuelle,Essence,9 L,5,Négociable,37
Peugeot,207,2012,5 CV,260 000 KM,Manuelle,Essence,5 L,5,Négociable,26500
Citroen,C4,2012,6 CV,192 000 KM,Manuelle,Essence,5 L,5,,25000
Ford,FOCUS,2012,6 CV,230 000 KM,Manuelle,Essence,7 L,,,30000
Mercedes,Classe Glk,2009,16 CV,66 000 KM,Automatique,Essence,21 L,5,Négociable,80000
Volkswagen,Jetta,2011,7 CV,289 000 KM,Manuelle,Essence,7 L,5,Négociable,34500
Mercedes,Classe C,2012,9 CV,168 350 KM,Automatique,Essence,7 L,5,Négociable,80000
Renault,Clio,2021,5 CV,150 000 KM,Manuelle,Essence,5 L,5,Négociable,44000
Citroen,AUTRE,2017,5 CV,140 000 KM,Manuelle,Essence,3 L,5,Négociable,1
Citroen,AUTRE,2015,4 CV,154 000 KM,Manuelle,Essence,1 L,5,Négociable,23500
Volkswagen,Golf,2021,7 CV,100 KM,Manuelle,Essence,6 L,5,Négociable,95
Peugeot,Partner,2011,7 CV,350 000 KM,Manuelle,Diesel,10 L,3,Négociable,17
Renault,Autres,2017,5 CV,200 000 KM,Manuelle,Essence,5 L,5,,40000
Hyundai,I10,2017,5 CV,97 000 KM,Manuelle,Essence,3 L,5,Négociable,39900
Kia,RIO,2022,5 CV,57 000 KM,Manuelle,Essence,3 L,5,,63000
Renault,Zoe,2010,5 CV,83 KM,Manuelle,Essence,3 L,5,Négociable,28886696
Renault,Kadjar,2019,7 CV,160 000 KM,Automatique,Essence,5,,Négociable,55000
Fiat,FIORINO,2020,5 CV,180 KM,Manuelle,Diesel,4 L,3,Négociable,30
Peugeot,308,2015,5 CV,180 000 KM,Manuelle,Essence,3 L,5,Négociable,32000
Renault,Kangoo,2012,5 CV,240 000 KM,Manuelle,Diesel,6 L,3,,24500
Suzuki,Autres,2020,5 CV,90 000 KM,Manuelle,Essence,3 L,5,Négociable,35800
